time,id,value
144,82,8056
144,83,10712
144,84,5588
144,85,10834
144,86,10532
144,87,7668
144,88,7697
144,89,11867
144,90,7389
144,91,8096
144,92,5975
144,93,13046
144,94,8360
144,95,9082
144,96,12419
144,97,0
144,98,0
144,99,0
144,100,0
144,101,22644
144,102,0
144,103,0
144,104,0
144,105,0
144,106,16343
144,107,0
144,108,0
144,109,0
144,110,0
144,111,16349
145,64,13147
145,65,13696
145,66,5767
145,67,6239
145,68,4347
145,69,11393
145,70,10838
145,71,8056
145,72,13966
145,73,13345
145,74,6711
145,75,5903
145,76,9719
145,77,8508
145,78,10898
145,79,7227
145,80,9204
145,81,11587
145,82,8056
145,83,10712
145,84,5588
145,85,10834
145,86,10532
145,87,7668
145,88,7697
145,89,11867
145,90,7389
145,91,8096
145,92,5975
145,93,13046
145,94,8360
145,95,9082
145,96,12419
145,97,0
145,98,0
145,99,0
145,100,0
145,101,22644
145,102,0
145,103,0
145,104,0
145,105,0
145,106,16343
145,107,0
145,108,0
145,109,0
145,110,0
145,111,16349
146,64,13147
146,65,13696
146,66,5767
146,67,6239
146,68,4347
146,69,11393
146,70,10838
146,71,8056
146,72,13966
146,73,13345
146,74,6711
146,75,5903
146,76,9719
146,77,8508
146,78,10898
146,79,7227
146,80,9204
146,81,11587
146,82,8056
146,83,10712
146,84,5588
146,85,10834
146,86,10532
146,87,7668
146,88,7697
146,89,11867
146,90,7389
146,91,8096
146,92,5975
146,93,13046
146,94,8360
146,95,9082
146,96,12419
146,97,0
146,98,0
146,99,0
146,100,0
146,101,22644
146,102,0
146,103,0
146,104,0
146,105,0
146,106,16343
146,107,0
146,108,0
146,109,0
146,110,0
146,111,16349
147,64,13147
147,65,13696
147,66,5767
147,67,6239
147,68,4347
147,69,11393
147,70,10838
147,71,8056
147,72,13966
147,73,13345
147,74,6711
147,75,5903
147,76,9719
147,77,8508
147,78,10898
147,79,7227
147,80,9204
147,81,11587
147,82,8056
147,83,10712
147,84,5588
147,85,10834
147,86,10532
147,87,7668
147,88,7697
147,89,11867
147,90,7389
147,91,8096
147,92,5975
147,93,13046
147,94,8360
147,95,9082
147,96,12419
147,97,0
147,98,0
147,99,0
147,100,0
147,101,22644
147,102,0
147,103,0
147,104,0
147,105,0
147,106,16343
147,107,0
147,108,0
147,109,0
147,110,0
147,111,16349
148,64,13147
148,65,13696
148,66,5767
148,67,6239
148,68,4347
148,69,11393
148,70,10838
148,71,8056
148,72,13966
148,73,13345
148,74,6711
148,75,5903
148,76,9719
148,77,8508
148,78,10898
148,79,7227
148,80,9204
148,81,11587
148,82,8056
148,83,10712
148,84,5588
148,85,10834
148,86,10532
148,87,7668
148,88,7697
148,89,11867
148,90,7389
148,91,8096
148,92,5975
148,93,13046
148,94,8360
148,95,9082
148,96,12419
148,97,0
148,98,0
148,99,0
148,100,0
148,101,22644
148,102,0
148,103,0
148,104,0
148,105,0
148,106,16343
148,107,0
148,108,0
148,109,0
148,110,0
148,111,16349
149,64,13147
149,65,13696
149,66,5767
149,67,6239
149,68,4347
149,69,11393
149,70,10838
149,71,8056
149,72,13966
149,73,13345
149,74,6711
149,75,5903
149,76,9719
149,77,8508
149,78,10898
149,79,7227
149,80,9204
149,81,11587
149,82,8056
149,83,10712
149,84,5588
149,85,10834
149,86,10532
149,87,7668
149,88,7697
149,89,11867
149,90,7389
149,91,8096
149,92,5975
149,93,13046
149,94,8360
149,95,9082
149,96,12419
149,97,0
149,98,0
149,99,0
149,100,0
149,101,22644
149,102,0
149,103,0
149,104,0
149,105,0
149,106,16343
149,107,0
149,108,0
149,109,0
149,110,0
149,111,16349
150,64,9389
150,65,10748
150,66,4882
150,67,4060
150,68,3588
150,69,8377
150,70,11623
150,71,5641
150,72,10614
150,73,8664
150,74,4887
150,75,4440
150,76,9041
150,77,7620
150,78,6877
150,79,5387
150,80,5588
150,81,7243
150,82,7272
150,83,8369
150,84,5265
150,85,8304
150,86,8852
150,87,6239
150,88,4204
150,89,10277
150,90,4438
150,91,7450
150,92,4271
150,93,9423
150,94,7156
150,95,7615
150,96,9148
150,97,0
150,98,0
150,99,0
150,100,0
150,101,17265
150,102,0
150,103,0
150,104,0
150,105,0
150,106,13065
150,107,0
150,108,0
150,109,0
150,110,0
150,111,13991
151,64,9389
151,65,10748
151,66,4882
151,67,4060
151,68,3588
151,69,8377
151,70,11623
151,71,5641
151,72,10614
151,73,8664
151,74,4887
151,75,4440
151,76,9041
151,77,7620
151,78,6877
151,79,5387
151,80,5588
151,81,7243
151,82,7272
151,83,8369
151,84,5265
151,85,8304
151,86,8852
151,87,6239
151,88,4204
151,89,10277
151,90,4438
151,91,7450
151,92,4271
151,93,9423
151,94,7156
151,95,7615
151,96,9148
151,97,0
151,98,0
151,99,0
151,100,0
151,101,17265
151,102,0
151,103,0
151,104,0
151,105,0
151,106,13065
